"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Fri Feb 20 17:26:12 UTC 2026","Fri Feb 20 17:26:12 UTC 2026","1","tests","test_with_api_user","","","","test_with_fixture[chromium]",""
"passed","Fri Feb 20 17:25:33 UTC 2026","Fri Feb 20 17:25:36 UTC 2026","2130","tests","test_checkout","","","","test_register_user[chromium]","Test user registration flow"
"passed","Fri Feb 20 17:25:17 UTC 2026","Fri Feb 20 17:25:25 UTC 2026","8433","tests","test_checkout","","","","test_checkout_with_item_data[chromium-Apple Pomace-2-0.89]","Test checkout flow using item data from CSV"
"passed","Fri Feb 20 17:26:20 UTC 2026","Fri Feb 20 17:26:29 UTC 2026","8300","tests","test_checkout","","","","test_checkout_with_item_data[chromium-Lemon Juice (500ml)-3-2.99]","Test checkout flow using item data from CSV"
"passed","Fri Feb 20 17:25:40 UTC 2026","Fri Feb 20 17:25:41 UTC 2026","1145","tests","test_example","","","","test_login_flow[chromium]","Test opening login page flow"
"broken","Fri Feb 20 17:25:41 UTC 2026","Fri Feb 20 17:26:12 UTC 2026","30708","tests","test_example","","","","test_add_product_to_basket[chromium]","Test adding a product to the basket without logging in first"
"passed","Fri Feb 20 17:25:39 UTC 2026","Fri Feb 20 17:25:39 UTC 2026","517","tests","test_example","","","","test_juice_shop_title[chromium]",""
"passed","Fri Feb 20 17:25:36 UTC 2026","Fri Feb 20 17:25:38 UTC 2026","2347","tests","test_checkout","","","","test_add_multiple_products[chromium]","Test adding multiple products to basket after login"
"passed","Fri Feb 20 17:25:26 UTC 2026","Fri Feb 20 17:25:33 UTC 2026","7866","tests","test_checkout","","","","test_full_checkout_flow[chromium]","Test complete checkout flow: register -> login -> add product -> checkout -> add address"
"passed","Fri Feb 20 17:25:38 UTC 2026","Fri Feb 20 17:25:39 UTC 2026","648","tests","test_checkout","","","","test_product_visibility[chromium]","Test that products are visible on the homepage"
"passed","Fri Feb 20 17:25:39 UTC 2026","Fri Feb 20 17:25:40 UTC 2026","683","tests","test_example","","","","test_dismiss_cookies_and_navigate[chromium]","Test dismissing popup and cookies, then verify basic navigation"
"passed","Fri Feb 20 17:26:12 UTC 2026","Fri Feb 20 17:26:20 UTC 2026","7792","tests","test_checkout","","","","test_checkout_with_item_data[chromium-Banana Juice (1000ml)-1-1.99]","Test checkout flow using item data from CSV"
